-23,7,285,285,-11,-200,-54,-14,28,5
-23,7,285,285,-11,-200,-47,-8,27,7
-11,-3,291,285,-11,-200,-36,1,28,33
-15,6,269,287,-14,-196,-42,78,23,34
-16,6,268,287,-14,-196,-45,113,15,33
-12,2,279,283,-16,-190,-44,45,-12,34
-20,5,268,283,-16,-190,-5,88,-3,32
-14,5,280,300,-20,-208,39,1,1,30
-19,4,271,292,-7,-200,-56,-7,-8,33
-17,4,270,292,-7,-200,-21,33,21,32
-8,13,263,287,-16,-194,-23,32,12,34
-13,4,276,287,-16,-194,-15,22,-3,32
-17,11,273,287,-15,-194,-83,49,32,34
-12,1,270,287,-15,-194,-54,19,15,33
-15,6,290,293,-21,-186,-26,-10,18,35
-18,-6,266,283,-17,-192,-30,-72,35,36
-24,2,266,283,-17,-192,-38,-30,-41,35
-21,1,260,285,-2,-196,-115,46,-38,35
-23,8,276,285,-2,-196,-59,-33,10,33
-18,5,261,285,-12,-196,-19,-16,8,34
-23,2,273,287,-8,-200,-68,-62,13,33
-23,7,265,287,-8,-200,-125,-35,23,34
-26,-1,282,287,-11,-194,-65,13,25,34
-25,7,277,287,-11,-194,-72,3,12,32
-25,1,279,283,-10,-188,-89,-22,12,35
-23,6,279,283,-10,-188,-39,-68,-10,35
-20,1,276,287,-9,-194,27,-87,-55,34
-22,1,273,280,-3,-183,21,-138,-49,34
-26,-1,279,280,-3,-183,-55,-279,-42,37
-26,6,266,287,2,-193,-9,-312,-44,34
-44,6,278,287,2,-193,18,-405,-50,33
-49,3,278,287,5,-194,21,-506,-7,32
-51,12,272,284,23,-196,-25,-551,-4,35
-63,4,268,284,23,-196,-16,-591,10,35
-73,6,271,283,23,-193,-86,-628,0,33
-67,7,262,283,23,-193,-55,-739,-23,36
-86,4,269,283,37,-190,47,-677,-24,35
-96,-9,269,283,51,-191,-47,-546,-2,35
-94,5,263,283,51,-191,28,-574,-9,34
-99,10,253,281,62,-188,17,-514,-27,35
-108,10,254,281,62,-188,-104,-452,-10,39
-117,6,250,275,64,-180,-75,-405,-14,37
-128,9,250,281,75,-179,0,-372,-36,33
-123,10,244,281,75,-179,-19,-311,-55,37
-123,13,230,275,75,-173,1,-168,-28,34
-129,9,256,275,75,-173,-5,-291,-48,36
-142,5,245,288,78,-191,-17,-496,-91,37
-133,12,239,281,89,-171,48,-555,-89,36
-153,11,231,281,89,-171,28,-531,-65,37
-156,17,234,275,104,-176,-21,-520,-75,38
-169,14,229,271,107,-162,-3,-494,-43,37
-167,11,224,271,107,-162,61,-426,-60,38
-178,15,218,272,107,-160,-5,-505,-90,37
-182,16,210,278,117,-150,-2,-442,-47,38
-183,13,214,278,117,-150,16,-459,-61,38
-186,22,197,283,120,-166,10,-457,-67,37
