-21,9,272,219,-21,-4,-35,37,32,5
-11,6,290,219,-21,-4,-35,37,31,4
-11,6,290,219,-21,-4,-33,35,31,31
-32,4,275,223,-22,-3,-34,35,30,31
-40,18,269,223,-22,-3,-36,35,31,32
-27,2,299,223,-19,-3,-34,37,30,32
-36,11,267,224,-22,-8,-34,35,32,32
-27,5,293,224,-22,-8,-34,37,30,32
-32,2,282,228,-23,-15,-36,36,32,32
-39,15,263,228,-23,-15,-34,35,32,33
-13,18,254,220,-22,-2,-36,37,30,31
-36,26,264,220,-22,-2,-33,37,30,32
-28,22,256,228,-22,-2,-35,37,31,33
-38,14,264,228,-22,-2,-35,36,31,32
-6,17,254,221,-20,-8,-34,36,31,32
-10,12,272,221,-20,-15,-35,36,31,33
-24,3,281,221,-20,-15,-35,36,31,32
-21,21,258,225,-21,-9,-34,39,32,31
-42,9,266,225,-21,-9,-36,37,30,32
-23,21,255,223,-22,-7,-35,37,31,32
-38,17,263,223,-22,-7,-35,37,30,33
-34,23,268,226,-29,0,-36,37,31,31
-35,10,270,226,-29,0,-35,36,31,30
-42,16,268,226,-24,-3,-33,35,30,32
-36,11,270,226,-24,-3,-32,33,31,32
-34,6,282,226,-24,-3,-33,34,29,32
-33,11,281,219,-22,-5,-31,34,31,32
-26,3,299,219,-22,-5,-31,33,30,32
-42,14,262,228,-22,-11,-32,34,31,33
-26,8,271,228,-22,-11,-32,35,30,32
-38,22,264,225,-21,-12,-33,35,31,32
-40,17,267,225,-21,-12,-34,33,29,34
-9,14,257,219,-25,-8,-32,33,30,31
-36,22,256,223,-23,-9,-32,35,31,32
-28,3,297,223,-23,-9,-34,35,31,32
-33,13,265,223,-22,-6,-33,36,31,32
-26,4,305,223,-22,-6,-35,37,30,31
-29,19,258,221,-20,-6,-34,36,30,32
-9,17,256,221,-20,-6,-35,37,30,32
-37,24,265,221,-21,-2,-35,36,30,32
-40,21,267,221,-21,-2,-35,37,31,33
-36,9,277,228,-22,-3,-35,40,30,31
-45,5,262,228,-22,-3,-34,37,31,31
-33,25,259,220,-23,-4,-38,37,30,32
-20,12,266,221,-22,-7,-36,38,31,33
-39,10,258,221,-22,-7,-35,37,32,32
-19,0,280,226,-23,-10,-35,36,31,32
-39,18,264,226,-23,-10,-35,37,30,34
-34,8,278,221,-17,-10,-34,36,31,32
-38,9,267,221,-17,-10,-34,36,29,32
-29,22,255,223,-21,-8,-35,36,30,32
-35,25,265,223,-21,-8,-32,35,31,33
-39,24,266,223,-21,-8,-33,35,31,32
-18,19,257,222,-20,-2,-34,34,30,33
-37,16,268,222,-20,-2,-34,33,32,32
-33,25,255,219,-21,0,-33,34,31,31
-38,19,266,219,-21,0,-35,35,31,30
-28,2,303,221,-22,-7,-35,36,32,31
-33,5,288,221,-22,-7,-33,34,31,32
-34,26,261,221,-19,-4,-34,36,29,32
-39,6,272,221,-19,-4,-35,36,31,32
-41,10,267,224,-21,-11,-34,36,30,33
-30,23,263,221,-22,-3,-35,36,31,32
-20,12,256,221,-22,-3,-36,35,31,32
-32,22,262,224,-23,-8,-34,35,30,33
-36,12,256,224,-23,-8,-36,35,30,32
-23,21,254,226,-22,-13,-34,37,31,34
-35,5,272,226,-22,-13,-35,37,31,32
-28,20,261,227,-22,-9,-35,37,31,32
-35,22,267,227,-22,-9,-38,36,30,32
-16,16,249,225,-26,-1,-32,33,31,32
-39,22,263,223,-21,-7,-35,38,29,33
-39,21,278,223,-21,-7,-35,37,31,32
-24,18,250,224,-24,-8,-35,36,31,33
-23,18,247,224,-24,-8,-38,40,32,32
-39,19,265,223,-22,-4,-37,39,32,33
-38,21,266,223,-22,-4,-35,37,32,31
-42,12,262,222,-27,-4,-37,37,31,33
-18,3,300,225,-20,-9,-39,37,31,31
-15,18,249,225,-20,-9,-37,37,31,32
-37,7,260,224,-23,-5,-38,38,32,32
-39,13,264,224,-23,-5,-33,36,31,32
-35,15,255,223,-22,-4,-34,36,31,32
-32,16,264,223,-22,-4,-37,38,31,31
-40,5,263,221,-24,0,-35,37,32,31
-35,15,260,221,-24,0,-34,36,30,31
-32,5,282,222,-23,-3,-35,37,31,32
-13,14,244,222,-23,-3,-35,34,29,32
-43,5,259,227,-24,-5,-35,36,30,31
-32,11,262,226,-26,-3,-35,34,31,31
-18,14,249,226,-26,-3,-33,34,30,33
-31,25,263,221,-24,-2,-36,36,29,32
-25,1,302,221,-24,-2,-34,37,29,31
