-23,-30,273,213,-29,20,-45,36,28,5
-34,-5,257,213,-29,20,-42,34,28,5
-34,-5,257,213,-29,20,-34,32,29,32
-23,-11,253,213,-31,22,-41,22,29,33
-25,-11,261,214,-31,22,-18,25,30,32
-27,-26,265,211,-30,38,-46,36,26,34
-22,-38,282,211,-30,38,-10,41,32,33
-23,-13,264,213,-30,21,-30,37,30,34
-31,-1,259,213,-30,21,-38,28,24,33
-26,-20,273,213,-28,29,-33,7,26,32
-17,-21,262,213,-28,29,-29,7,26,33
-18,-23,261,215,-29,18,-53,26,20,32
-29,-18,269,211,-32,23,-39,12,26,33
-21,-18,260,211,-32,23,-38,-12,24,34
-28,-37,273,213,-27,22,-22,-22,12,35
-38,-15,262,213,-27,22,14,-76,-2,33
-32,-13,264,213,-30,27,8,-106,-24,34
-30,-29,280,218,-28,20,-22,-105,-15,37
-36,-15,273,218,-28,20,8,-93,-16,33
-34,-10,270,211,-24,22,-26,-135,-30,37
-36,-6,262,211,-24,22,-94,-158,-46,35
-53,-18,273,215,-24,18,-59,-192,-61,37
-39,-36,262,216,-28,26,-76,-155,-53,37
-36,-26,263,216,-28,26,-30,-184,-41,35
-40,-24,260,218,-26,27,-67,-192,-21,36
-49,-23,269,218,-26,27,-24,-197,1,33
-42,-25,264,209,-20,26,-77,-124,7,34
-66,-10,258,213,-23,19,13,-100,17,35
-65,-7,258,213,-23,19,-51,-122,18,34
-62,-5,261,212,-22,24,2,-123,14,33
-56,-14,261,212,-22,24,-27,-136,5,34
-61,-15,265,210,-18,19,11,-173,-10,36
-66,-39,269,207,-17,23,-40,-210,-7,35
-68,-6,261,207,-17,23,-79,-234,-21,35
-77,-15,257,207,-15,23,-98,-272,-50,37
-78,-13,257,207,-15,23,-72,-336,-64,35
-79,-10,257,209,-16,24,-64,-343,-68,36
-93,-27,280,209,-11,19,49,-467,-98,36
-88,-37,262,209,-11,19,139,-492,-70,36
-84,-7,263,210,-6,16,163,-545,-90,35
-91,0,255,210,-6,16,99,-515,-90,32
-96,-9,256,207,-9,20,62,-567,-59,34
-114,-12,234,203,0,29,59,-558,-61,34
-124,6,241,203,0,29,-66,-530,-27,34
-115,5,229,203,2,24,-181,-486,-19,35
-144,-8,252,203,2,24,-140,-446,-40,35
-144,-4,259,206,1,25,46,-478,-39,33
-145,5,242,207,2,16,66,-526,-9,31
-152,3,235,207,2,16,-80,-581,25,33
-137,-9,227,206,6,23,-107,-587,26,34
-158,7,214,206,6,23,-58,-651,39,33
-185,-3,220,203,6,25,-122,-676,36,34
-188,-4,204,203,6,25,16,-626,-10,33
-192,8,202,205,7,27,46,-654,25,31
-199,-3,205,205,7,27,-64,-666,61,32
-195,-9,196,218,8,21,-88,-615,12,34
-209,-3,193,199,9,26,-35,-602,-26,34
-210,-15,201,199,9,26,12,-567,-22,35
-208,-4,183,197,13,41,57,-497,-43,34
-229,4,179,197,13,41,-1,-498,-54,34
-216,11,167,195,13,39,-44,-538,-56,36
-229,1,181,199,12,40,-100,-603,-40,35
-212,9,153,199,12,40,-232,-628,-39,36
-226,-5,165,197,10,40,-307,-627,-6,34
-234,9,141,197,10,40,-294,-599,30,34
-219,-6,129,195,12,45,-225,-505,7,35
-233,5,122,197,13,56,-149,-435,-1,34
-245,-10,138,197,13,56,-83,-346,-36,37
-248,1,117,191,15,59,70,-305,-45,33
-253,0,137,191,15,59,131,-303,-53,35
-240,9,98,197,14,57,89,-341,-20,32
-254,0,134,198,16,37,253,-367,-20,35
-261,6,115,198,16,37,274,-371,-40,35
-270,13,97,195,17,56,233,-400,-64,33
-278,17,105,195,17,56,233,-414,-69,35
-273,9,119,198,14,43,40,-337,-60,32
-277,18,83,198,14,43,39,-300,-46,34
-276,19,80,195,10,48,49,-313,-72,33
-259,25,77,193,11,42,83,-326,-90,34
-253,21,77,193,11,42,137,-376,-123,36
-277,26,73,195,20,42,135,-354,-97,34
-242,18,63,195,20,42,122,-336,-48,35
-272,33,54,194,17,48,179,-392,-60,34
-268,22,75,193,19,47,60,-394,-40,33
-272,22,52,193,19,47,-92,-326,-44,33
