-25,-10,270,306,-10,-141,-41,39,7,5
-17,-10,296,306,-10,-141,-41,39,7,8
-21,-10,272,311,-8,-140,-41,40,8,33
-17,-5,275,311,-8,-140,-41,40,8,33
-19,-12,269,301,-5,-122,-40,41,7,32
-18,-5,271,301,-5,-122,-39,39,7,32
-19,-8,270,309,-6,-139,-39,40,8,32
-20,-8,273,309,-6,-139,-42,41,8,33
-21,-11,275,310,-6,-139,-41,39,9,34
-21,-19,258,308,-7,-139,-42,39,7,33
-23,-16,271,308,-7,-139,-41,38,8,34
-18,-19,279,311,-8,-133,-41,39,9,33
-19,-19,276,311,-8,-133,-40,39,9,33
-20,-7,261,318,-13,-147,-41,40,8,33
-20,-3,269,318,-13,-147,-42,38,7,34
-16,-14,273,306,-10,-138,-41,39,8,34
-32,-9,291,312,-12,-137,-41,40,7,33
-22,-12,278,312,-12,-137,-41,40,8,35
-21,-17,279,308,-9,-139,-42,39,8,33
-20,-22,268,308,-9,-139,-41,40,7,34
-26,-7,272,309,-10,-141,-42,39,7,32
-27,-3,272,321,-16,-140,-42,39,7,33
-19,-12,269,321,-16,-140,-42,40,9,34
-28,-4,274,310,-13,-130,-42,39,8,33
-21,-10,267,310,-13,-130,-40,39,7,35
-19,-15,274,309,-4,-139,-41,41,8,33
-23,-4,267,309,-4,-139,-42,40,8,33
-20,-11,265,307,-10,-127,-41,39,8,34
-22,-6,268,311,-12,-136,-40,40,9,34
-20,-5,266,311,-12,-136,-41,39,8,32
-14,-5,268,307,-8,-133,-41,39,9,33
-24,-2,274,307,-8,-133,-40,40,8,33
-19,-15,273,311,-11,-133,-40,39,7,34
-21,-6,273,311,-11,-133,-41,38,8,34
-23,-12,283,311,-11,-133,-42,39,7,34
-21,-4,274,305,-3,-138,-40,39,8,33
-21,-11,278,305,-3,-138,-41,39,7,33
-21,-3,276,313,-13,-134,-40,39,8,33
-22,-20,279,313,-13,-134,-41,41,8,34
-22,-9,276,313,-4,-138,-41,39,8,32
-21,-21,275,311,-4,-140,-42,40,8,34
-18,-14,271,311,-4,-140,-42,39,7,33
-18,-5,273,312,-6,-138,-41,39,7,33
-20,-13,264,312,-6,-138,-40,40,8,33
-23,-7,272,313,-11,-134,-42,40,8,34
-25,-10,282,313,-11,-134,-41,40,8,33
-20,-5,267,318,-12,-141,-41,39,9,33
-19,-13,270,313,-11,-138,-40,39,8,35
-24,-3,271,313,-11,-138,-41,39,8,33
-21,-6,270,309,-9,-141,-42,40,6,33
-24,-9,272,309,-9,-141,-41,40,8,32
-21,-10,275,303,-7,-131,-42,40,8,34
-21,-3,272,303,-7,-131,-41,39,7,32
-17,-15,282,303,-6,-127,-42,40,7,33
-23,-12,261,307,-11,-134,-41,39,8,34
-18,-12,272,307,-11,-134,-41,40,8,34
-23,-10,277,303,-9,-130,-42,37,9,34
-19,-13,271,303,-9,-130,-41,41,7,33
-23,-6,278,311,-9,-132,-42,38,8,33
-20,-9,281,311,-9,-132,-41,42,9,32
-20,-8,271,316,-10,-145,-41,39,7,34
-23,-16,263,311,-10,-132,-40,40,7,33
-19,-9,270,311,-10,-132,-41,38,8,33
-22,-13,278,303,-9,-120,-42,40,9,34
-22,-12,277,303,-9,-120,-40,40,9,33
-20,-8,270,307,-5,-140,-41,40,8,33
-27,-6,267,307,-18,-124,-40,39,7,33
-23,-6,277,307,-18,-124,-42,39,8,34
-23,-2,272,311,-11,-133,-43,39,8,33
-24,-7,267,311,-11,-133,-41,39,8,33
-22,-3,270,301,-7,-126,-42,39,8,31
-19,-14,268,301,-7,-126,-42,40,10,35
-22,-13,274,302,-6,-122,-41,40,8,34
-22,-17,289,306,-7,-137,-41,39,8,33
-21,-15,272,306,-7,-137,-40,39,7,34
-19,-15,274,304,-9,-123,-41,40,8,33
-16,-14,277,304,-9,-123,-41,39,8,34
-21,-8,270,307,-12,-133,-41,39,9,32
-21,-17,281,307,-12,-133,-42,39,7,34
-20,-7,277,307,-10,-133,-41,40,8,34
-24,-10,264,307,-10,-138,-42,39,8,34
-24,-11,278,307,-10,-138,-42,39,7,35
-20,-5,265,308,-16,-134,-40,40,8,33
-19,-7,266,308,-16,-134,-41,41,8,34
-21,-5,272,306,-7,-140,-40,40,8,32
-18,-11,270,318,-9,-138,-42,39,8,34
-26,-17,278,318,-9,-138,-41,40,7,32
-23,-21,271,309,-11,-138,-41,38,7,33
-19,-14,267,309,-11,-138,-42,40,8,35
-17,-11,280,318,-11,-133,-41,39,6,34
-24,-9,273,318,-11,-133,-40,40,9,34
-21,-16,282,309,-7,-132,-42,40,8,33
-18,-7,279,311,-12,-136,-41,38,8,34
-18,-4,273,311,-12,-136,-41,40,7,33
-24,-13,273,309,-2,-137,-41,41,9,32
-21,-9,279,309,-2,-137,-41,41,8,32
-22,-3,277,309,-9,-138,-41,40,8,32
-22,-14,273,309,-9,-138,-42,40,8,34
-23,-6,279,309,-8,-137,-40,41,9,32
-27,-25,266,309,-10,-138,-42,39,10,36
-22,-8,278,309,-10,-138,-41,41,8,33
-20,-5,270,306,-11,-133,-42,41,8,34
-22,0,274,306,-11,-133,-42,39,8,31
-23,-8,277,311,-9,-136,-42,40,8,31
-24,-6,271,311,-9,-136,-41,38,8,33
-21,-12,271,308,2,-136,-42,39,9,32
-23,-10,290,303,-9,-130,-42,39,8,34
-22,-14,271,303,-9,-130,-41,38,8,33
-15,-6,271,308,-5,-137,-42,40,8,33
-21,-17,272,308,-5,-137,-41,39,8,32
-21,-13,273,306,-7,-134,-42,39,8,33
-24,-20,272,306,-7,-134,-41,40,8,33
-21,-3,270,303,-15,-132,-42,38,8,33
-20,-7,268,321,-15,-136,-42,40,8,34
-19,-9,272,321,-15,-136,-42,40,8,33
-18,-10,267,308,-15,-128,-41,41,9,35
-23,-17,276,308,-15,-128,-42,40,8,34
